,instance name,ICBS time,MAPF-encodings time
147,inst-81-1155525382.param,5.0,13.59
148,inst-81-1259217442.param,1.14,0.736
149,inst-81-1768974848.param,22.11,5.207
150,inst-81-2062904689.param,5.0,12.74
151,inst-81-396479326.param,5.0,5.611
152,inst-81-586273567.param,4.18,2.466
153,inst-81-799324880.param,16.26,6.229
154,inst-82-1062464252.param,1.17,1.601
155,inst-29-1768974848.param(1),2.69,4.123
156,inst-29-586273567.param(1),1.88,1.016
157,inst-33-2062904689.param,0.73,3.62
158,inst-33-586273567.param,0.61,3.023
159,inst-35-1557483814.param,29.77,1.548
160,inst-35-2062904689.param,17.93,4.142
161,inst-36-1557483814.param,12.54,7.962
162,inst-45-1557483814.param,8.69,6.586
163,inst-49-799324880.param(1),0.68,2.726
164,inst-50-1113505286.param,0.53,3.783
165,inst-50-1155525382.param(1),4.33,6.98
166,inst-50-1220223230.param,9.51,5.409
167,inst-50-1235825111.param,1.34,1.586
168,inst-50-1557483814.param,7.49,5.354
169,inst-50-1768974848.param,10.54,3.487
170,inst-50-2062904689.param,0.74,2.879
171,inst-50-396479326.param,10.52,5.401
172,inst-50-586273567.param,0.65,3.042
173,inst-50-799324880.param(1),0.27,3.775
174,inst-51-1113505286.param,1.32,1.382
175,inst-51-799324880.param,0.75,4.265
176,inst-52-1113505286.param,0.12,1.016
177,inst-56-1062464252.param,2.23,6.289
178,inst-56-1113505286.param,1.38,3.63
179,inst-56-1155525382.param(1),2.69,3.957
180,inst-56-1235825111.param,1.07,2.592
181,inst-56-1259217442.param,2.98,2.462
182,inst-56-1361714622.param(1),3.91,2.453
183,inst-56-1768974848.param,0.65,1.033
184,inst-56-2062904689.param,19.12,3.369
185,inst-56-228165673.param,0.87,2.705
186,inst-56-396479326.param,2.04,2.314
187,inst-56-554373760.param,0.74,3.834
188,inst-59-1113505286.param,4.35,7.318
189,inst-59-1155525382.param(1),29.77,9.531
190,inst-59-799324880.param(1),11.37,5.065
191,inst-60-1113505286.param,8.97,6.161
192,inst-60-799324880.param(1),28.43,7.213
193,inst-61-1768974848.param,2.5,1.282
194,inst-62-1062464252.param,1.8,2.884
195,inst-62-1113505286.param,0.62,2.048
196,inst-62-1155525382.param,1.2,2.423
197,inst-62-1220223230.param,3.37,4.881
198,inst-62-1235825111.param,12.34,5.064
199,inst-62-1259217442.param,2.84,1.759
200,inst-62-1557483814.param,4.15,1.534
201,inst-62-1768974848.param,1.14,1.627
202,inst-62-2062904689.param,0.95,2.805
203,inst-62-396479326.param,2.99,2.635
204,inst-62-799324880.param,8.47,5.193
205,inst-64-1155525382.param(1),7.7,3.742
206,inst-64-1768974848.param,3.38,3.008
207,inst-68-1155525382.param,2.13,6.121
208,inst-70-1062464252.param,20.35,5.465
209,inst-70-1259217442.param,11.85,5.301
210,inst-70-1361714622.param(1),22.4,6.015
211,inst-70-396479326.param(1),1.34,2.893
212,inst-71-1062464252.param,0.57,2.129
213,inst-71-1113505286.param,1.65,2.599
214,inst-71-1155525382.param,1.89,1.213
215,inst-71-1220223230.param,3.82,2.093
216,inst-71-1259217442.param,0.52,2.13
