,instance name,ICBS time,MAPF-encodings time
147,inst-62-530916865.param,3.02,2.641
148,inst-64-964224853.param(1),4.19,2.057
149,inst-65-1362504592.param,13.24,4.897
150,inst-65-1696394065.param,18.84,6.442
151,inst-65-344749774.param(1),1.32,2.889
152,inst-65-444441003.param,4.04,6.883
153,inst-65-530916865.param(1),17.99,5.2
154,inst-66-1199881161.param,9.43,3.494
155,inst-66-1696394065.param,19.01,5.377
156,inst-66-1986739145.param,15.35,2.106
157,inst-66-488424375.param,7.78,3.86
158,inst-67-530916865.param,15.55,2.187
159,inst-68-1199881161.param,18.18,1.072
160,inst-69-488424375.param(1),4.74,2.661
161,inst-71-1199881161.param,6.52,4.392
162,inst-71-1362504592.param,22.7,1.524
163,inst-71-1878579642.param,8.87,2.813
164,inst-71-1910065963.param,2.61,2.193
165,inst-71-344749774.param,5.61,4.136
166,inst-71-488424375.param,1.45,1.498
167,inst-7-1696394065.param,0.0,4.453
168,inst-7-530916865.param(1),3.02,1.73
