,instance name,ICBS time,MAPF-encodings time
148,inst-72-530916865.param,2.91,4.564
149,inst-75-1986739145.param,4.62,1.008
150,inst-75-342872648.param(1),2.09,2.557
151,inst-75-488424375.param,1.12,2.731
152,inst-75-530916865.param,0.97,3.289
153,inst-76-1878579642.param,3.73,1.67
154,inst-76-488424375.param,2.95,2.335
155,inst-76-964224853.param,2.73,2.789
156,inst-78-1696394065.param,1.5,1.048
157,inst-78-342872648.param,2.56,2.317
158,inst-79-1986739145.param,4.12,2.632
159,inst-79-488424375.param,1.35,2.318
160,inst-84-488424375.param,1.65,1.533
